"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"8600000US02120","ZCTA5 02120","46843","6258",
"8600000US02121","ZCTA5 02121","36479","5913",
"8600000US02122","ZCTA5 02122","72158","12505",
"8600000US02124","ZCTA5 02124","63118","4435",
"8600000US02125","ZCTA5 02125","60862","7336",
"8600000US02126","ZCTA5 02126","55126","6909",
"8600000US02127","ZCTA5 02127","122599","7879",
"8600000US02128","ZCTA5 02128","63378","4325",
"8600000US02129","ZCTA5 02129","131064","9096",
"8600000US02130","ZCTA5 02130","102088","4162",
"8600000US02131","ZCTA5 02131","87083","6309",
"8600000US02132","ZCTA5 02132","117083","13863",
"8600000US02134","ZCTA5 02134","66095","5497",
"8600000US02135","ZCTA5 02135","83383","4776",
"8600000US02136","ZCTA5 02136","76704","7152",
"8600000US02138","ZCTA5 02138","104641","8431",
"8600000US02139","ZCTA5 02139","108832","7045",
"8600000US02140","ZCTA5 02140","114256","11115",
"8600000US02141","ZCTA5 02141","87739","5407",
"8600000US02142","ZCTA5 02142","134575","27843",
"8600000US02143","ZCTA5 02143","105193","10362",
"8600000US02144","ZCTA5 02144","111549","12452",
"8600000US02145","ZCTA5 02145","90491","8219",
"8600000US02148","ZCTA5 02148","73399","4011",
"8600000US02149","ZCTA5 02149","70627","5905",
"8600000US02150","ZCTA5 02150","60305","3580",
"8600000US02151","ZCTA5 02151","68199","6473",
"8600000US02152","ZCTA5 02152","76996","4740",
"8600000US02155","ZCTA5 02155","101266","5026",
"8600000US02163","ZCTA5 02163","57989","19891",
"8600000US02169","ZCTA5 02169","76636","4981",
"8600000US02170","ZCTA5 02170","85821","5756",
"8600000US02171","ZCTA5 02171","85586","8987",
"8600000US02176","ZCTA5 02176","114604","15722",
"8600000US02180","ZCTA5 02180","103104","10275",
"8600000US02184","ZCTA5 02184","101544","5251",
"8600000US02186","ZCTA5 02186","141050","12694",
"8600000US02188","ZCTA5 02188","93160","13177",
"8600000US02189","ZCTA5 02189","75152","9934",
"8600000US02190","ZCTA5 02190","87424","15040",
"8600000US02191","ZCTA5 02191","89234","6378",
"8600000US02199","ZCTA5 02199","106250","89655",
"8600000US02203","ZCTA5 02203","-","**",
"8600000US02210","ZCTA5 02210","170920","22787",
"8600000US02215","ZCTA5 02215","55468","9372",
"8600000US02301","ZCTA5 02301","57977","3913",
"8600000US02302","ZCTA5 02302","70986","6956",
"8600000US02322","ZCTA5 02322","97353","29016",
"8600000US02324","ZCTA5 02324","100747","8413",
"8600000US02330","ZCTA5 02330","61374","5873",
"8600000US02332","ZCTA5 02332","126889","15035",
"8600000US02333","ZCTA5 02333","102669","14869",
"8600000US02338","ZCTA5 02338","97844","10280",
"8600000US02339","ZCTA5 02339","133922","13959",
"8600000US02341","ZCTA5 02341","100455","10398",
"8600000US02343","ZCTA5 02343","79718","11321",
"8600000US02346","ZCTA5 02346","77455","5701",
"8600000US02347","ZCTA5 02347","109297","8882",
"8600000US02351","ZCTA5 02351","106001","4150",
"8600000US02356","ZCTA5 02356","114177","14891",
"8600000US02357","ZCTA5 02357","-","**",
"8600000US02359","ZCTA5 02359","119827","15933",
"8600000US02360","ZCTA5 02360","92757","3703",
"8600000US02364","ZCTA5 02364","95197","16212",
"8600000US02366","ZCTA5 02366","-","**",
"8600000US02367","ZCTA5 02367","107734","17601",
"8600000US02368","ZCTA5 02368","87803","6110",
"8600000US02370","ZCTA5 02370","80783","10420",
"8600000US02375","ZCTA5 02375","102161","6803",
"8600000US02379","ZCTA5 02379","105377","11281",
"8600000US02382","ZCTA5 02382","88932","6814",
"8600000US02420","ZCTA5 02420","198110","21962",
"8600000US02421","ZCTA5 02421","180943","11711",
"8600000US02445","ZCTA5 02445","126094","16496",
"8600000US02446","ZCTA5 02446","99383","7672",
